projectname,station_name,location_name,location_description,n
Albertkanaal,ak-10,10,RO albertkanaal; onder de brug; straatnaam rue ile Monsin,3
Albertkanaal,ak-11,9,aan de meettoestellen LO Maas; SO barrage van Monsin,5
Albertkanaal,ak-13,11,RO Maas aan een trapje; thv sociéte Mantegro,2
Albertkanaal,ak-14,12,"RO Albertkanaal; aan een trapje, ter hoogte van pont d’Hermalle-sous-Argenteau",3
Albertkanaal,ak-15,13,RO Maas; aan trapje; SO barrage Lixhe,2
Albertkanaal,ak-16,14,vastgemaakt aan een boom; LO Maas SA barrage de lixhe,1
Albertkanaal,ak-17,16,LO Albertkanaal; Kannes ter hoogte van kleine haven ,5
Albertkanaal,ak-18,15,vastgemaakt aan een boom; LO Maas SA sluis van Lanaye,1
Albertkanaal,ak-19,Uitzet SO2,"1ste brug SO splitsing Zuid-Willemsvaart thv Veldwezelt; adres trekweg cavei, Lindestraat, Lanaken",11
Albertkanaal,ak-2,1,"onder de brug, aan de pilaar van de brug ' belle-île'",3
Albertkanaal,ak-20,zuid willemsvaart,,1
Albertkanaal,ak-20,Zuid-Willemsvaart,1ste brug na monding; adres bernerstraat Lanaken,1
Albertkanaal,ak-21,Genk SO1,"nieuwe locatie: twintig meter verder stroomop aan trapje; Vossenkuilstraat/ Hoefaertweg, Bilzen",3
Albertkanaal,ak-21,Uitzet SO 1,brug Eigenbilzen; adres: Hoefaertweg Bilzen,9
Albertkanaal,ak-22,Genk SO,"nieuwe locatie: niet meer aan steiger, nu aan beugel 50m verder SO op LO ; Swinnewijerweg Genk",10
Albertkanaal,ak-22,Genk SO,staketsel; Swinnewijerweg Genk ,1
Albertkanaal,ak-23,Genk SA,aan knik in betonnen wand; oogvijs; Swinnewijerweg Genk,12
Albertkanaal,ak-24,Diepenbeek SO,aan meetkast; adres: havenlaan Diepenbeek,4
Albertkanaal,ak-24,SO Diepenbeek,stijgbeugel tussen meetkast en balustrade,7
Albertkanaal,ak-25,Diepenbeek SA,"beugel tussen overgang rechte naar schuine oever; adres: Havenlaan, Diepenbeek",12
Albertkanaal,ak-26,Hasselt SO,beugel tussen overgang rechte naar schuine oever; adres: boksbeemdenstraat; Hasselt,13
Albertkanaal,ak-27,Hasselt SA,,3
Albertkanaal,ak-27,SA Hasselt,beugel tussen overgang rechte naar schuine oever; adres: sasstraat Hasselt,6
Albertkanaal,ak-27,SA Hasselt,beugel tussen overgang rechte naar schuine oever; adres: sasstraat Hasselt ,1
Albertkanaal,ak-28,Toevoerkanaal,ter hoogte van inox meetkast,5
Albertkanaal,ak-28,Toevoerkanaal ,ter hoogte van inox meetkast,1
Albertkanaal,ak-29,Ham SO,nieuwe locatie: 100m SO aan trapje op LO,15
Albertkanaal,ak-3,2,"onder de brug, aan de pilaar van de brug ' gramme'",5
Albertkanaal,ak-30,ak-30,,1
Albertkanaal,ak-30,sluis Ham RO,sluis Ham RO,3
Albertkanaal,ak-30,sluis Ham RO,,3
Albertkanaal,ak-31,Ham Sluis Midden,meerhoutstraat/sluisstraat in Ham,1
Albertkanaal,ak-31,Ham Sluis Midden,"sluis ham midden
meerhoutstraat/sluisstraat in Ham",5
Albertkanaal,ak-31,Ham Sluis Midden,,1
Albertkanaal,ak-32,duwvaartsluis Ham,sluis ham duwvaart,4
Albertkanaal,ak-32,duwvaartsluis Ham,,3
Albertkanaal,ak-33,Ham SA,,14
Albertkanaal,ak-34,ak-34,Brug Gestelseweg adres: Bukenberg Balen,3
Albertkanaal,ak-34,ak-34,Brug Gestelseweg adres: Bukenberg Balen: geplaatst in tip van geleiding,4
Albertkanaal,ak-34,Kwaadmechelen -Dessel,"Brug Gestelseweg, adres: Bukenberg (Balen)",5
Albertkanaal,ak-35,Olen SO,trapje;  adres: sluizenweg Olen,13
Albertkanaal,ak-36,Olen SA,"LO; 1 km na sluis, 100m voor brug aan trap; adres: sluizenweg Olen",9
Albertkanaal,ak-37,Olen SA,"",1
Albertkanaal,ak-38,Kanaal Dessel - Herentals,"einde steiger SO laatste sluiscomplex, onder laatste rooster adres: Herenthoutseweg 110; Herentals",4
Albertkanaal,ak-39,Wijnegem SO,ponton watervogels trapje RO (natuurlijke oever gaat over in schuine oever) adres stokerijstraat Schilde (wijnegem),10
Albertkanaal,ak-40,Wijnegem SA,aan ponton met metalen roosters; adres: albertkanaalbaan Schilde (Wijnegem),8
Albertkanaal,ak-41,Royersluis Schelde,staketsel opgelet enkel te bereiken met LW,3
Albertkanaal,ak-41,Royersluis Schelde,"staketsel opgelet enkel te bereiken met LW; Noordkasteel-zuid, Antwerpen",6
Albertkanaal,ak-42,Royersluis Albertkanaal,trapje in kademuur RO,4
Albertkanaal,ak-42,Royersluis Albertkanaal,"trapje in kademuur RO. litouwenstraat, antwerpen",5
Albertkanaal,ak-43,Dessel-Schoten,"voorbij woonboten aan laatste wilg ; adres: sluizenstraat, Villerslei Schoten",3
Albertkanaal,ak-43,Dessel-Schoten,"voorbij woonboten aan laatste wilg ; adres: sluizenstraat, Villerslei Schoten ",2
Albertkanaal,ak-44,Boudewijnsluis Albertkanaal,trapje steiger,3
Albertkanaal,ak-44,Boudewijnsluis Albertkanaal,"trapje steiger; Ordamdijkstraat, Antwerpen",6
Albertkanaal,ak-45,Boudewijnsluis Schelde,grijs uitkijkpostje,3
Albertkanaal,ak-45,Boudewijnsluis Schelde,"grijs uitkijkpostje; boudewijnsluis, Antwerpen",5
Albertkanaal,ak-46,Zandvlietsluis Albertkanaal,trap,3
Albertkanaal,ak-47,Zandvlietsluis Schelde,in de muur met bevestiging van potloodfuiken,3
Albertkanaal,ak-47,Zandvlietsluis Schelde,"in de muur met bevestiging van potloodfuiken; oudedijkweg, Antwerpen",4
Albertkanaal,ak-48,Schelde-Rijn verbinding,haak in kademuur aan knik in betonnen wand,3
Albertkanaal,ak-48,Schelde-Rijn verbinding,"haak in kademuur aan knik in betonnen wand, Noordland, Antwerpen",4
Albertkanaal,ak-x,sluis Ham,"midden van de sluis, so van de sluis",2
Albertkanaal,HH1,HH1,"Slachthuiskaai, Hasselt",6
Albertkanaal,HH10,"",kanaal dessel kwaadmechelen ;waterhoek (olmensebaan 126; Balen) ; net SA burg LO,2
Albertkanaal,HH10,HH10,kanaal dessel kwaadmechelen ;waterhoek (olmensebaan 126; Balen) ; net SA burg LO,3
Albertkanaal,HH11,"",brug Gompelbaan; LO thv hoge schouw ,1
Albertkanaal,HH11,HH11,brug Gompelbaan; LO thv hoge schouw,4
Albertkanaal,HH2,HH2,"St Amandusstraat (Hasselt), LO thv bord jaagpad, SO waar de parallelweg afbuigt",6
Albertkanaal,HH3,HH3,"Klein Spanjestraat (Hasselt), LO 1km SA van de brug thv infrabel peilbuis",6
Albertkanaal,HH4,HH4,"Doelenlaan Heusden zolder, RO tussen brug westlaan en bocht SO; thv gele schildering SO van de toren aan de overkant",6
Albertkanaal,HH5,"",Genenbosstraat Lummen RO SA van de brug ,2
Albertkanaal,HH5,HH5,Genenbosstraat Lummen RO SA van de brug,4
Albertkanaal,HH6,"Terhulzen  Beringen, LO thv Style kapsalon","Terhulzen  Beringen, LO thv Style kapsalon",6
Albertkanaal,HH7,Terbekstraat (Tervant) thv geronoveerd huis,Terbekstraat (Tervant) thv geronoveerd huis,6
Albertkanaal,HH8,brug kanaalweg Tessenderlo,brug kanaalweg Tessenderlo,2
Albertkanaal,HH9,"",SO brug zandstraat/bergstraat  Ham; RO aan groen bord,2
Albertkanaal,HH9,HH9,SO brug zandstraat/bergstraat  Ham; RO aan groen bord,4
Albertkanaal,S02,S02,VPS netwerk Ham,7
Albertkanaal,S07,S07,VPS netwerk Ham,5
Albertkanaal,S08,S08,VPS netwerk Ham,8
Albertkanaal,S09,S09,VPS netwerk Ham,4
Albertkanaal,S09-2,S09-2,,5
Albertkanaal,S10,S10,VPS netwerk Ham,7
Albertkanaal,S12,S12,VPS netwerk Ham,8
Albertkanaal,S13,S13,VPS netwerk Ham,9
Albertkanaal,S14,S14,VPS netwerk Ham,8
Albertkanaal,S15,S15,VPS netwerk Ham,8
Albertkanaal,S16,S16,VPS netwerk Ham,8
Albertkanaal,S17,S17,VPS netwerk Ham,8
Albertkanaal,S18,S18,VPS netwerk Ham,8
Albertkanaal,TOEVOERKANAAL,TOEVOERKANAAL,TOEVOERKANAAL AAN DE SLUIZEN IN HAM,1
