eventid,occurrenceid,recordedby,scientificname,kingdom,phylum,vernacularname,taxonrank
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
urn:catalog:etn:albert:2781:occurrence-detections,urn:catalog:etn:2013_albertkanaal:729:id_pk:occurrence-detections,"",Anguilla anguilla,Animalia,Chordata,European eel,species
